ProMAX Data Export: List/Table - 213_hor-03
Area: 2021_training    Line: thubl_line213
  LINE_NO       CDP         Z
---------+---------+---------+---------+---------+---------+
      213      4090   3740.79
      213      4095   3739.81
      213      4100   3738.82
      213      4105   3737.84
      213      4110   3736.85
      213      4115   3735.87
      213      4120   3734.89
      213      4125   3733.90
      213      4130   3732.92
      213      4135   3731.93
      213      4140   3730.95
      213      4145   3729.96
      213      4150   3728.98
      213      4155   3728.00
      213      4160   3727.01
      213      4165   3726.03
      213      4170   3725.04
      213      4175   3724.06
      213      4180   3723.07
      213      4185   3722.09
      213      4190   3721.10
      213      4195   3720.05
      213      4200   3718.91
      213      4205   3717.70
      213      4210   3716.42
      213      4215   3715.06
      213      4220   3713.62
      213      4225   3712.11
      213      4230   3710.53
      213      4235   3708.87
      213      4240   3707.14
      213      4245   3705.33
      213      4250   3703.44
      213      4255   3701.48
      213      4260   3699.45
      213      4265   3697.34
      213      4270   3695.23
      213      4275   3693.12
      213      4280   3691.01
      213      4285   3688.90
      213      4290   3686.79
      213      4295   3684.68
      213      4300   3682.57
      213      4305   3680.46
      213      4310   3678.35
      213      4315   3676.25
      213      4320   3674.14
      213      4325   3672.03
      213      4330   3669.92
      213      4335   3667.81
      213      4340   3665.70
      213      4345   3663.59
      213      4350   3661.48
      213      4355   3659.37
      213      4360   3657.26
      213      4365   3655.15
      213      4370   3653.04
      213      4375   3650.93
      213      4380   3648.82
      213      4385   3646.71
      213      4390   3644.60
      213      4395   3642.50
      213      4400   3640.39
      213      4405   3638.28
      213      4410   3636.17
      213      4415   3634.06
      213      4420   3631.95
      213      4425   3629.84
      213      4430   3627.73
      213      4435   3625.62
      213      4440   3623.51
      213      4445   3621.40
      213      4450   3619.29
      213      4455   3617.18
      213      4460   3615.07
      213      4465   3612.96
      213      4470   3610.85
      213      4475   3608.75
      213      4480   3606.64
      213      4485   3604.53
      213      4490   3602.42
      213      4495   3600.31
      213      4500   3598.20
      213      4505   3596.09
      213      4510   3593.98
      213      4515   3591.87
      213      4520   3589.76
      213      4525   3587.65
      213      4530   3585.54
      213      4535   3583.43
      213      4540   3581.32
      213      4545   3579.30
      213      4550   3577.35
      213      4555   3575.50
      213      4560   3573.72
      213      4565   3572.03
      213      4570   3570.42
      213      4575   3568.89
      213      4580   3567.45
      213      4585   3566.09
      213      4590   3564.81
      213      4595   3563.62
      213      4600   3562.51
      213      4605   3561.48
      213      4610   3560.54
      213      4615   3559.68
      213      4620   3558.82
      213      4625   3557.96
      213      4630   3557.10
      213      4635   3556.24
      213      4640   3555.38
      213      4645   3554.52
      213      4650   3553.66
      213      4655   3552.80
      213      4660   3551.94
      213      4665   3551.08
      213      4670   3550.22
      213      4675   3549.36
      213      4680   3548.50
      213      4685   3547.64
      213      4690   3546.78
      213      4695   3545.92
      213      4700   3545.06
      213      4705   3544.20
      213      4710   3543.34
      213      4715   3542.48
      213      4720   3541.62
      213      4725   3540.76
      213      4730   3539.90
      213      4735   3539.04
      213      4740   3538.18
      213      4745   3537.32
      213      4750   3536.46
      213      4755   3535.60
      213      4760   3534.74
      213      4765   3533.88
      213      4770   3533.02
      213      4775   3532.16
      213      4780   3531.30
      213      4785   3530.44
      213      4790   3529.58
      213      4795   3528.72
      213      4800   3527.86
      213      4805   3527.00
      213      4810   3526.14
      213      4815   3525.28
      213      4820   3524.42
      213      4825   3523.56
      213      4830   3522.70
      213      4835   3521.84
      213      4840   3520.98
      213      4845   3520.12
      213      4850   3519.26
      213      4855   3518.40
      213      4860   3517.54
      213      4865   3516.68
      213      4870   3515.82
      213      4875   3514.96
      213      4880   3514.10
      213      4885   3513.24
      213      4890   3512.38
      213      4895   3511.52
      213      4900   3510.66
      213      4905   3509.92
      213      4910   3509.29
      213      4915   3508.79
      213      4920   3508.40
      213      4925   3508.13
      213      4930   3507.97
      213      4935   3507.94
      213      4940   3508.02
      213      4945   3508.23
      213      4950   3508.54
      213      4955   3508.98
      213      4960   3509.54
      213      4965   3510.21
      213      4970   3511.00
      213      4975   3511.91
      213      4980   3512.82
      213      4985   3513.73
      213      4990   3514.64
      213      4995   3515.55
      213      5000   3516.46
      213      5005   3517.36
      213      5010   3518.27
      213      5015   3519.18
      213      5020   3520.09
      213      5025   3521.00
      213      5030   3521.91
      213      5035   3522.82
      213      5040   3523.73
      213      5045   3524.64
      213      5050   3525.54
      213      5055   3526.45
      213      5060   3527.36
      213      5065   3528.27
      213      5070   3529.18
      213      5075   3530.09
      213      5080   3531.00
      213      5085   3531.91
      213      5090   3532.82
      213      5095   3533.73
      213      5100   3534.63
      213      5105   3535.54
      213      5110   3536.45
      213      5115   3537.36
      213      5120   3538.27
      213      5125   3539.18
      213      5130   3540.09
      213      5135   3541.00
      213      5140   3541.91
      213      5145   3542.82
      213      5150   3543.72
      213      5155   3544.63
      213      5160   3545.54
      213      5165   3546.45
      213      5170   3547.36
      213      5175   3548.27
      213      5180   3549.18
      213      5185   3550.09
      213      5190   3551.00
      213      5195   3551.91
      213      5200   3552.81
      213      5205   3553.72
      213      5210   3554.63
      213      5215   3555.54
      213      5220   3556.45
      213      5225   3557.36
      213      5230   3558.27
      213      5235   3559.18
      213      5240   3560.09
      213      5245   3561.00
      213      5250   3561.90
      213      5255   3562.81
      213      5260   3563.72
      213      5265   3564.63
      213      5270   3565.54
      213      5275   3566.45
      213      5280   3567.36
      213      5285   3568.27
      213      5290   3569.18
      213      5295   3570.09
      213      5300   3570.99
      213      5305   3571.90
      213      5310   3572.81
      213      5315   3573.72
      213      5320   3574.63
      213      5325   3575.54
      213      5330   3576.45
      213      5335   3577.36
      213      5340   3578.27
      213      5345   3579.18
      213      5350   3580.08
      213      5355   3580.99
      213      5360   3581.90
      213      5365   3582.81
      213      5370   3583.72
      213      5375   3584.63
      213      5380   3585.54
      213      5385   3586.45
      213      5390   3587.36
      213      5395   3588.27
      213      5400   3589.17
      213      5405   3590.08
      213      5410   3590.99
      213      5415   3591.90
      213      5420   3592.81
