ProMAX Data Export: List/Table - 213_hor-04
Area: 2021_training    Line: thubl_line213
  LINE_NO       CDP         Z
---------+---------+---------+---------+---------+---------+
      213      3755   6078.15
      213      3760   6079.54
      213      3765   6080.93
      213      3770   6082.32
      213      3775   6083.71
      213      3780   6085.10
      213      3785   6086.49
      213      3790   6087.88
      213      3795   6089.27
      213      3800   6090.66
      213      3805   6092.05
      213      3810   6093.44
      213      3815   6094.83
      213      3820   6096.23
      213      3825   6097.62
      213      3830   6099.01
      213      3835   6100.40
      213      3840   6101.79
      213      3845   6103.18
      213      3850   6104.57
      213      3855   6105.96
      213      3860   6107.35
      213      3865   6108.74
      213      3870   6110.13
      213      3875   6111.52
      213      3880   6112.91
      213      3885   6114.30
      213      3890   6115.70
      213      3895   6117.09
      213      3900   6118.48
      213      3905   6119.87
      213      3910   6121.26
      213      3915   6122.65
      213      3920   6124.04
      213      3925   6125.43
      213      3930   6126.82
      213      3935   6128.21
      213      3940   6129.60
      213      3945   6130.99
      213      3950   6132.38
      213      3955   6133.77
      213      3960   6135.16
      213      3965   6136.50
      213      3970   6137.79
      213      3975   6139.03
      213      3980   6140.21
      213      3985   6141.34
      213      3990   6142.42
      213      3995   6143.45
      213      4000   6144.43
      213      4005   6145.35
      213      4010   6146.22
      213      4015   6147.04
      213      4020   6147.81
      213      4025   6148.53
      213      4030   6149.20
      213      4035   6149.81
      213      4040   6150.42
      213      4045   6151.04
      213      4050   6151.65
      213      4055   6152.27
      213      4060   6152.88
      213      4065   6153.49
      213      4070   6154.11
      213      4075   6154.72
      213      4080   6155.34
      213      4085   6155.95
      213      4090   6156.56
      213      4095   6157.18
      213      4100   6157.79
      213      4105   6158.41
      213      4110   6159.02
      213      4115   6159.63
      213      4120   6160.25
      213      4125   6160.86
      213      4130   6161.48
      213      4135   6162.09
      213      4140   6162.70
      213      4145   6163.32
      213      4150   6163.93
      213      4155   6164.54
      213      4160   6165.16
      213      4165   6165.77
      213      4170   6166.39
      213      4175   6167.00
      213      4180   6167.61
      213      4185   6168.23
      213      4190   6168.84
      213      4195   6169.46
      213      4200   6170.07
      213      4205   6170.68
      213      4210   6171.30
      213      4215   6171.91
      213      4220   6172.53
      213      4225   6173.14
      213      4230   6173.75
      213      4235   6174.37
      213      4240   6174.98
      213      4245   6175.59
      213      4250   6176.21
      213      4255   6176.82
      213      4260   6177.44
      213      4265   6178.05
      213      4270   6178.66
      213      4275   6179.28
      213      4280   6179.89
      213      4285   6180.51
      213      4290   6181.12
      213      4295   6181.73
      213      4300   6182.35
      213      4305   6182.96
      213      4310   6183.58
      213      4315   6184.19
      213      4320   6184.80
      213      4325   6185.42
      213      4330   6186.03
      213      4335   6186.65
      213      4340   6187.26
      213      4345   6187.87
      213      4350   6188.49
      213      4355   6189.10
      213      4360   6189.71
      213      4365   6190.33
      213      4370   6190.94
      213      4375   6191.56
      213      4380   6192.17
      213      4385   6192.78
      213      4390   6193.40
      213      4395   6194.01
      213      4400   6194.63
      213      4405   6195.24
      213      4410   6195.85
      213      4415   6196.47
      213      4420   6197.08
      213      4425   6197.70
      213      4430   6198.31
      213      4435   6198.92
      213      4440   6199.54
      213      4445   6200.15
      213      4450   6200.76
      213      4455   6201.38
      213      4460   6201.99
      213      4465   6202.61
      213      4470   6203.22
      213      4475   6203.83
      213      4480   6204.45
      213      4485   6205.06
      213      4490   6205.68
      213      4495   6206.29
      213      4500   6206.90
      213      4505   6207.52
      213      4510   6208.13
      213      4515   6208.75
      213      4520   6209.36
      213      4525   6209.97
      213      4530   6210.59
      213      4535   6211.20
      213      4540   6211.81
      213      4545   6212.43
      213      4550   6213.04
      213      4555   6213.66
      213      4560   6214.27
      213      4565   6214.88
      213      4570   6215.50
      213      4575   6216.11
      213      4580   6216.73
      213      4585   6217.34
      213      4590   6217.95
      213      4595   6218.57
      213      4600   6219.18
      213      4605   6219.80
      213      4610   6220.41
      213      4615   6221.02
      213      4620   6221.64
      213      4625   6222.25
      213      4630   6222.87
      213      4635   6223.48
      213      4640   6224.09
      213      4645   6224.71
      213      4650   6225.32
      213      4655   6225.94
      213      4660   6226.55
      213      4665   6227.16
      213      4670   6227.78
      213      4675   6228.39
      213      4680   6229.00
      213      4685   6229.62
      213      4690   6230.23
      213      4695   6230.85
      213      4700   6231.46
      213      4705   6231.98
      213      4710   6232.42
      213      4715   6232.77
      213      4720   6233.03
      213      4725   6233.19
      213      4730   6233.27
      213      4735   6233.27
      213      4740   6233.17
      213      4745   6232.98
      213      4750   6232.81
      213      4755   6232.67
      213      4760   6232.54
      213      4765   6232.44
      213      4770   6232.36
      213      4775   6232.30
      213      4780   6232.34
      213      4785   6232.50
      213      4790   6232.77
      213      4795   6233.15
      213      4800   6233.64
      213      4805   6234.23
      213      4810   6234.94
      213      4815   6235.76
      213      4820   6236.69
      213      4825   6237.61
      213      4830   6238.54
      213      4835   6239.47
      213      4840   6240.39
      213      4845   6241.32
      213      4850   6242.25
      213      4855   6243.17
      213      4860   6244.10
      213      4865   6245.03
      213      4870   6245.96
      213      4875   6246.88
      213      4880   6247.81
      213      4885   6248.74
      213      4890   6249.66
      213      4895   6250.59
      213      4900   6251.52
      213      4905   6252.45
      213      4910   6253.37
      213      4915   6254.30
      213      4920   6255.23
      213      4925   6256.15
      213      4930   6257.08
      213      4935   6258.01
      213      4940   6258.94
      213      4945   6259.86
      213      4950   6260.79
      213      4955   6261.72
      213      4960   6262.64
      213      4965   6263.57
      213      4970   6264.50
      213      4975   6265.43
      213      4980   6266.35
      213      4985   6267.28
      213      4990   6268.21
      213      4995   6269.13
      213      5000   6270.06
      213      5005   6270.99
      213      5010   6271.92
      213      5015   6272.84
      213      5020   6273.77
      213      5025   6274.70
      213      5030   6275.62
      213      5035   6276.55
      213      5040   6277.48
      213      5045   6278.41
      213      5050   6279.33
      213      5055   6280.26
      213      5060   6281.19
      213      5065   6282.11
      213      5070   6283.04
      213      5075   6283.97
      213      5080   6284.90
      213      5085   6285.82
      213      5090   6286.75
      213      5095   6287.68
      213      5100   6288.60
      213      5105   6289.53
      213      5110   6290.46
      213      5115   6291.39
      213      5120   6292.31
      213      5125   6293.24
      213      5130   6294.17
      213      5135   6295.09
      213      5140   6296.02
      213      5145   6296.95
      213      5150   6297.88
      213      5155   6298.80
      213      5160   6299.73
      213      5165   6300.66
      213      5170   6301.58
      213      5175   6302.51
      213      5180   6303.44
      213      5185   6304.36
      213      5190   6305.29
      213      5195   6306.22
      213      5200   6307.15
      213      5205   6308.07
      213      5210   6309.00
      213      5215   6309.93
      213      5220   6310.85
      213      5225   6311.78
      213      5230   6312.71
      213      5235   6313.64
      213      5240   6314.56
      213      5245   6315.49
      213      5250   6316.42
      213      5255   6317.34
      213      5260   6318.27
      213      5265   6319.20
      213      5270   6320.13
      213      5275   6321.05
      213      5280   6321.98
      213      5285   6322.91
      213      5290   6323.83
      213      5295   6324.76
      213      5300   6325.69
      213      5305   6326.62
      213      5310   6327.54
      213      5315   6328.47
      213      5320   6329.40
      213      5325   6330.32
      213      5330   6331.25
      213      5335   6332.18
      213      5340   6333.11
      213      5345   6334.03
      213      5350   6334.96
      213      5355   6335.89
      213      5360   6336.81
      213      5365   6337.74
      213      5370   6338.67
      213      5375   6339.60
      213      5380   6340.52
      213      5385   6341.45
      213      5390   6342.38
      213      5395   6343.30
      213      5400   6344.23
      213      5405   6345.16
      213      5410   6346.09
      213      5415   6347.01
      213      5420   6347.94
      213      5425   6348.87
      213      5430   6349.79
      213      5435   6350.72
      213      5440   6351.65
      213      5445   6352.58
      213      5450   6353.50
      213      5455   6354.43
      213      5460   6355.36
      213      5465   6356.28
      213      5470   6357.21
      213      5475   6358.14
      213      5480   6359.06
      213      5485   6359.99
      213      5490   6360.92
      213      5495   6361.85
